"citation_key","domain","observable","frequency_band","instrument","source_process","data_or_model","principal_result","role_in_paper1","claim_supported","claim_not_supported","full_text_reviewed"
"Harms2015","Newtonian noise","gravity/gradient/strain","broad environmental spectrum","GW detectors and gravimeters","seismic/atmospheric/environmental","review/theory","Environmental density perturbations generate gravity fluctuations with source-specific spectra and cancellation","Introduction and observable distinctions","Environmental gravity noise requires physical source and observable conventions","Ocean-process detectability or gravimeter site noise","yes"
"VanCamp2017","terrestrial gravity review","gravity","sub-seismic to long period","relative/absolute/SG","atmosphere/hydrology/geodynamics","review","Time-variable terrestrial gravity combines instrument, site and geophysical contributions","Introduction","Self-noise and observed gravity variability are distinct","Any Paper 1 process amplitude or frequency boundary","no"
"Brundu2022","Newtonian noise","GW-equivalent strain","infrasound/GW band","Cosmic Explorer model","atmosphere","theory/model","Atmospheric Newtonian-noise components are expressed for a GW facility","Introduction and limitations","GW-equivalent strain is a distinct observable","A vertical-gravimeter noise curve","yes"
"Coughlin2014","Newtonian noise","strain/gravity coupling","0.1--1 Hz","lunar seismic array/GW context","seismic","observation/model","Seismic observations constrain gravity-noise implications in a specified band","Related work","Newtonian-noise conclusions are band and observable dependent","Ocean-load gravimeter detectability","no"
"Creighton2008","Newtonian noise","gravity/strain","low-frequency GW band","LIGO context","airborne moving masses","theory","Moving atmospheric/terrestrial masses can create local gravity noise","Related work","Nearby mass motion can couple gravitationally without shielding","Oceanic signal SNR","yes"
"Hall2022","GW detector","strain","few Hz and above design context","Cosmic Explorer","environmental noise","design review","Third-generation detector design treats Newtonian noise as a low-frequency limit","Related work","GW facility requirements are not gravimeter PSDs","Measured terrestrial gravity sensitivity","yes"
"Schafer2020","instrument/SG","vertical gravity","published finite band","iGrav","instrument self-noise","multi-instrument observation","Transport and installation affect iGrav performance and self-noise characterization","Instrument evidence","The admitted iGrav anchor is a bounded self-noise result","Site-wide ocean detectability","yes"
"Banka1999","instrument/SG","vertical gravity","seismic frequencies","superconducting gravimeters","instrument/site noise","station comparison","SG noise differs across stations and frequency","Related work","SG noise must be reported with band and site","Universal iGrav noise curve","no"
"Rosat2011","instrument/SG","vertical gravity","seismic frequencies","superconducting gravimeters","instrument/site noise","station comparison","Updated SG noise comparison shows time and station dependence","Related work","Long-term stability and seismic-band noise are distinct","Paper 1 instrument coverage outside reported bands","no"
"Boy2020IGETS","IGETS","gravity","long-term monitoring","superconducting gravimeters","Earth tides/geodynamics","service/network review","IGETS coordinates long-term SG products and standards","Data context","IGETS is a network/service with access and processing conventions","Open availability of every station record","yes"
"Valencio2017","gravity preprocessing","vertical gravity","time-series dependent","terrestrial gravimeter","background signals","methods comparison","Removal methods can leave different residual dynamics","Discussion","Preprocessing can distort or retain environmental signals","Instrument self-noise or ocean detectability","yes"
"BoyLyard2008","ocean loading","vertical gravity","high-frequency NTOL","superconducting gravimeters","non-tidal ocean","global model","High-frequency NTOL affects precision surface-gravity measurements","Related work","Ocean loading has prior gravity literature","Paper 1 is first ocean-loading calculation","no"
"Antokoletz2023","ocean/atmosphere loading","vertical gravity","high-precision time series","terrestrial gravimeters","atmosphere and NTOL","model/observation correction","Atmospheric and NTOL effects require composition-aware correction","Discussion","Environmental effect ownership must avoid overlap","Paper 1 detects a named event","yes"
"Boy2003","ocean tide loading","vertical gravity","tidal bands","superconducting gravimeters","ocean tide","model comparison/observation","SG data discriminate among ocean-tide loading models","Related work","Ocean-tide gravity loading is established prior work","Direct attraction alone is total observed gravity","no"
"Voigt2024","non-tidal ocean loading","gravity/displacement","storm-surge to monthly","SG/GNSS/tide gauge","storm surge/NTOL","observation and regional model","Helgoland observations and high-resolution modeling separate gravity and deformation evidence","Validation","The open model chain has an external magnitude benchmark","P1 reproduces observation correlation without iGrav data","yes"
"Zhang2026","non-tidal ocean loading","vertical gravity","South China Sea NTOL","iGrav-048","non-tidal ocean","SG observation/model","Haikou study relates modeled NTOL to SG observations","Related work","South China Sea NTOL gravimetry predates Paper 1","Paper 1 is first SCS or typhoon gravimetry study","yes"
"Menoret2018","atom gravimeter","vertical gravity","reported operational/white-noise band","AQG-A01","instrument","field instrument experiment","Transportable AQG performance is frequency and averaging-time bounded","Instrument evidence","AQG anchor must retain its stated band","Long-period measured site PSD","yes"
"Peters2001","atom gravimeter","vertical gravity","measurement-cycle/averaging dependent","atom interferometer","instrument","experiment","Atom interferometry enables absolute gravity measurement with stated stability","Related instrument context","Sensitivity and stability require timing conventions","AQG field noise curve","no"
"McGuirk2002","atom gradiometer","gravity gradient","reported experimental band","atom interferometer gradiometer","instrument","experiment","Demonstrates sensitive absolute gravity gradiometry","Supplement boundary","Gradient is a separate observable with separate units","Vertical-gravity instrument sensitivity","yes"
"Sorrentino2014","atom gradiometer","gravity gradient","interrogation-cycle dependent","Raman atom interferometer","instrument","sensitivity analysis","Derives gravity-gradiometer sensitivity limits","Supplement/future work","Gradient sensitivity is not interchangeable with gravity","P1 Route-A release requirement","yes"
"Chelton2011","ocean process","gravity source proxy via SSH","weeks to months","satellite altimetry","mesoscale eddy","global observations/catalogue","Quantifies nonlinear eddy amplitude, radius and propagation statistics","Process parameter evidence","Eddy branch is a representative catalogue-scale scenario","A probability distribution for P1 sensitivity bands","yes"
"Dullaart2019","ocean process","sea level","storm-event timescales","global surge model","storm surge","numerical reanalysis/model","ERA5 enables global storm-surge modeling with explicit forcing","Process context","Storm surge has event and model dependence","Helgoland-specific gravity transfer","yes"
"LiFarmer2011","ocean process","density/interface displacement","tidal to solitary-wave timescales","oceanographic observations","internal wave","field observations/model","Documents generation and evolution of nonlinear internal waves in the South China Sea","Process evidence","Internal-wave scales require regional physical evidence","A unique global internal-wave gravity prior","yes"
"Huang2016","ocean process","interface displacement","solitary-wave event","in-situ ocean observations","internal wave","field observation","Reports an extreme northern South China Sea internal solitary wave","Process evidence","Extreme displacement values are event-specific","Occurrence probability or global typicality","yes"
"Zhao2016","ocean process","sea-surface/internal-tide signature","M2","satellite altimetry","internal tide","global observation/model","Maps coherent open-ocean mode-1 M2 internal tides","Process evidence","M2 internal tides occupy a narrow constituent band","P1 compensated dipole is a complete eigenmode","yes"
"Feng2021","ocean process","acoustic backscatter/interface structure","minutes to hours","acoustic observations","internal solitary wave","field observation","Documents shelf internal solitary waves in the northern South China Sea","Process evidence","Shelf wave scales differ from basin internal tides","A universal gravity coupling coefficient","yes"
"Rainville2013","ocean process","internal-tide displacement","tidal band","autonomous gliders","internal tide","field observations","Tracks Luzon-Strait internal-tide propagation","Process evidence","Regional propagation scales support a sensitivity design","Continuous mode-1 gravity source profile","yes"
"Tang2012","tsunami","deep-ocean pressure/energy","minutes to hours","DART pressure network","tsunami","observation/energy inversion","Provides propagated-energy estimate and full uncertainty for the 2011 Tohoku tsunami","Structural sensitivity","Energy normalization is independent of amplitude normalization","A probability interval combining both branches","yes"
"Gower2007","tsunami","sea-surface height","transient","satellite altimetry","tsunami","observation","Satellite altimetry measures open-ocean tsunami elevation","Process evidence","Deep-ocean tsunami amplitude is observable","P1 packet geometry or gravity detectability","yes"
"Dunbar2011","tsunami","sea level/pressure","transient","NOAA observing systems","tsunami","data description","Documents authoritative 2011 Tohoku tsunami datasets","Process/data context","Named-event evidence must retain provenance","Exact P1 signal model","yes"
"Lovholt2017","submarine landslide","tsunami elevation","event transient","geological/numerical evidence","submarine landslide","model and event comparison","Shows giant slide volume alone does not determine tsunami amplitude","Mass-compensation discussion","Source structure and dynamics control far-field signal","Large volume guarantees detectability","yes"
"Kim2019","submarine landslide","mass motion/tsunami","event transient","numerical slide model","Storegga landslide","numerical model","Quantifies material-control sensitivity for Storegga tsunami genesis","Process evidence","Storegga properties define a named extreme family","Unique slide velocity or water-wave conversion","yes"
"Urgeles2013","submarine landslide","slide geometry/dynamics","event/catalogue","marine geology","Mediterranean landslides","review/catalogue","Relates triggers, dynamics and frequency-magnitude behavior","Process limitations","Regional slide populations differ","Storegga parameter closure","yes"
"PedrosaGonzalez2022","submarine landslide","tsunami elevation","event transient","numerical model","Storfjorden landslide","numerical model","Simulates a glaciomarine-margin slide tsunami","Process limitations","Named slide scenarios require coupled geometry/dynamics","A universal generated-wave branch","yes"
"Farrell1972","loading theory","displacement/gravity/potential","static to long period","geodetic observables","surface loading","elastic Earth theory","Derives Green-function response of an elastic Earth to surface loads","Methods","Direct attraction and elastic/potential response are distinct","Direct gravity equals total terrestrial observable","yes"
"DziewonskiAnderson1981","Earth model","elastic response inputs","not an instrument band","PREM","Earth structure","reference Earth model","Defines PREM radial Earth structure","Validation","Earth-model provenance is required for load response","A site-specific loading validation","yes"
"Martens2019","forward method","displacement/gravity/loading","static/frequency-independent elastic kernel","LoadDef","surface loading","software/method","Provides reproducible spherical-Earth load deformation calculations and benchmarks","Methods and validation","LoadDef benchmark supports the CE provider implementation","All observables or Earth models are validated","yes"
"Karney2013","geodesy","distance/area geometry","not applicable","geodetic computation","geometry","numerical method","Provides accurate ellipsoidal geodesic algorithms","Methods","Earth geometry requires an explicit ellipsoidal convention","Ocean-process physics or noise","no"
"EgbertErofeeva2002","ocean process","sea level/current","major tidal constituents","satellite-constrained tide model","ocean tide","inverse model","Efficient barotropic inverse modeling underpins widely used global tide fields","Process context","Tidal signals require constituent-resolved models","A site-noise PSD or gravity detectability","no"
"HartDavis2021","ocean process","sea level","major tidal constituents","multi-mission satellite altimetry","ocean tide","global data/model","EOT20 constructs a global tide model from multi-mission altimetry","Process context","Modern tide fields have model and observational provenance","The 1-m disk is a global tide atlas","yes"
"Muis2016","ocean process","extreme sea level","storm-event timescales","global surge model","storm surge","global reanalysis","Provides a global reanalysis of storm surges and extreme sea levels","Process context","Storm-surge duration and magnitude vary by event and coast","Helgoland gravity validation","yes"
"Luecke2017","ocean process","available potential energy","weeks to months","models and observations","mesoscale eddy","global comparison","Quantifies the global mesoscale-eddy available-potential-energy field","Process context","SSH alone does not exhaust eddy vertical structure","A density-to-gravity mapping for P1","no"
"Li2022Eddy","ocean process","eddy vertical tilt","weeks to months","global observations","mesoscale eddy","global mapping","Maps three-dimensional mesoscale-eddy vertical tilt","Process limitations","Eddy gravity depends on vertical structure as well as SSH","A closed compensated-eddy prior","no"
"LimPark2022","ocean process","internal-tide velocity/vertical structure","diurnal tidal band","Slocum glider/ADCP","internal tide and eddy","field observation/model","Shows internal-tide vertical structure varies inside an anticyclonic eddy","Process limitations","Ocean-process branches can interact and alter vertical structure","A direct density-to-gravity coupling coefficient","yes"
"George2021","ocean process","SSH and inferred heat flux","mesoscale","satellite SSH/simulation","mesoscale eddy","simulation/machine learning","Shows SSH patterns contain information about but do not directly measure interior eddy heat flux","Process limitations","SSH representation does not uniquely specify interior density transport","A compensated-eddy gravity model","yes"
"Arabelos2011","ocean process","sea level","eight principal tidal constituents","altimetry/tide gauges","ocean tide","regional assimilation model","Builds a constituent-resolved Mediterranean tide model from altimetry and gauges","Process context","Tide models require constituent and regional validation","The normalized P1 disk is a regional tide solution","yes"
