"output_id","artifact_path","process_scope","direct","elastic_potential","height","total","instrument_comparison_allowed","units","manuscript_location","required_label","release_disposition"
"figure_frequency_coverage","reports/figures/paper1/p1_frequency_coverage.png","six representative process families","direct radial gravity: yes","no","no","no","coverage only against vertical-gravity bands","Hz; dimensionless energy fraction","Results","direct-radial-gravity frequency support","main"
"figure_process_instrument_matrix","reports/figures/paper1/p1_process_instrument_matrix.png","six representative process families","direct radial gravity: yes","no","no","no","coverage only; SNR classification withheld","dimensionless energy fraction","Results","direct-radial-gravity signal-energy coverage","supplement-or-Figure-3-inset"
"figure_distance_amplitude","reports/figures/paper1/p1_distance_amplitude_envelopes.png","six representative process families","direct radial gravity: yes","no","no","no","amplitude only","m s^-2; m","Results","peak absolute direct radial gravity","main"
"figure_sensitivity_envelopes","reports/figures/paper1/p1_sensitivity_envelopes.png","internal wave; tsunami; submarine landslide","direct radial gravity: yes","no","no","no","no instrument comparison","m s^-2 plus source-parameter SI units","Results","direct-radial-gravity sensitivity","main physical-structure panel input"
"figure_frequency_requirements","reports/figures/paper1/p1_frequency_requirements.png","six representative process families","direct radial gravity: yes","no","no","no","coverage-gap comparison only","Hz; dimensionless ratio","Results","direct-radial-gravity frequency requirement","main"
"table_process_representations","papers/paper1_atlas/main.tex","six representative process families","direct radial gravity: yes","no","no","no","no instrument comparison","SI source parameters; record counts","Methods","primary direct-radial-gravity representations","main"
"helgoland_component_validation","experiments/paper1/P1-E005-helgoland-bsh-model/metrics.json","Helgoland storm-surge model case","yes; stored separately","combined CE elastic gravity: yes; stored separately","vertical displacement: yes; stored separately","no","component-dependent validation only","m s^-2; m; nm s^-2 mm^-1","Validation","direct attraction; combined elastic gravity; vertical displacement","main"
"loaddef_provider_benchmark","reports/P1-WU58-loaddef-published-provider-benchmark.md","surface-load benchmark","no","combined CE elastic gravity: yes","radial displacement: yes","no","no instrument comparison","dimensionless angular distance; m; m s^-2","Validation","combined elastic gravity and radial displacement","main-or-supplement"
"structural_tsunami_energy_branch","experiments/paper1/P1-E007-structural-variant-closure/metrics.json","energy-normalized tsunami sensitivity","direct radial gravity: yes","no","no","no","no instrument comparison","J; m; m s^-2","Results","energy-normalized direct-radial-gravity sensitivity","main physical-structure panel input"
"gradient_foundation","experiments/paper1/P1-E003-gradient-detectability-foundation/metrics.json","six engineering fixtures","Tzz direct gravity gradient: yes","no","no","no","gradient curves only","s^-2; Hz","Supplement","direct Tzz gravity gradient","supplement/future work"
"conclusion_total_observable_boundary","papers/paper1_atlas/main.tex","all surface-load branches","direct available","requires separate validation","requires separate validation","not calculated for six-process ensemble","not allowed","component-dependent","Conclusions","total terrestrial observable not inferred from direct gravity","main"
